ID,Age_ka,d18O,MgCa
"339-U1385D-15H-4,1-2",1273.24,,1.122
"339-U1385D-15H-4,120-121",1283.41,3.03,
"339-U1385D-15H-4,120-121",1283.41,,1.401
"339-U1385D-15H-4,121-122",1283.54,3.05,
"339-U1385D-15H-4,122-123",1283.66,3.05,
"339-U1385D-15H-4,123-124",1283.79,3.2,
"339-U1385D-15H-4,124-125",1283.92,3.1,
"339-U1385D-15H-4,125-126",1284.04,3.19,
"339-U1385D-15H-4,125-126",1284.04,,1.405
"339-U1385D-15H-4,126-127",1284.17,3.24,
"339-U1385D-15H-4,127-128",1284.3,2.99,
"339-U1385D-15H-4,128-129",1284.42,2.98,
"339-U1385D-15H-4,129-130",1284.55,3.06,
"339-U1385D-15H-4,130-131",1284.68,3.13,
"339-U1385D-15H-4,130-131",1284.68,,1.292
"339-U1385D-15H-4,131-132",1284.81,3.34,
"339-U1385D-15H-4,13-14",1274.17,2.91,
"339-U1385D-15H-4,132-133",1284.93,3.05,
"339-U1385D-15H-4,133-134",1285.06,3.1,
"339-U1385D-15H-4,134-135",1285.19,3.04,
"339-U1385D-15H-4,135-136",1285.31,2.85,
"339-U1385D-15H-4,135-136",1285.31,,1.155
"339-U1385D-15H-4,136-137",1285.44,2.97,
"339-U1385D-15H-4,137-138",1285.57,3.08,
"339-U1385D-15H-4,138-139",1285.69,3.19,
"339-U1385D-15H-4,139-140",1285.82,3.29,
"339-U1385D-15H-4,140-141",1285.95,2.92,
"339-U1385D-15H-4,140-141",1285.95,,1.087
"339-U1385D-15H-4,141-142",1286.07,3.27,
"339-U1385D-15H-4,14-15",1274.25,3.16,
"339-U1385D-15H-4,142-143",1286.2,3.3,
"339-U1385D-15H-4,143-144",1286.33,3.4,
"339-U1385D-15H-4,144-145",1286.45,3.23,
"339-U1385D-15H-4,145-146",1286.58,3.22,
"339-U1385D-15H-4,145-146",1286.58,,1.192
"339-U1385D-15H-4,146-147",1286.71,3.18,
"339-U1385D-15H-4,147-148",1286.83,3.56,
"339-U1385D-15H-4,148-149",1286.96,3.39,
"339-U1385D-15H-4,149-150",1287.09,3.36,
"339-U1385D-15H-4,150-151",1287.22,3.55,
"339-U1385D-15H-4,151-152",1287.34,3.55,
"339-U1385D-15H-4,15-16",1274.33,3.3,
"339-U1385D-15H-4,16-17",1274.41,3.23,
"339-U1385D-15H-4,18-19",1274.56,3.04,
"339-U1385D-15H-4,19-20",1274.64,3.14,
"339-U1385D-15H-4,20-21",1274.72,,1.486
